   100        P 4 b m        P 4 -2ab         PTN$P4C000$I2A660 
   101        P 42 c m       P 4c -2c         PTN$P4C006$I2A006 
   102        P 42 n m       P 4n -2n         PTN$P4C666$I2A666 
   103        P 4 c c        P 4 -2c          PTN$P4C000$I2A006 
   104        P 4 n c        P 4 -2n          PTN$P4C000$I2A666 
   105        P 42 m c       P 4c -2          PTN$P4C006$I2A000 
   106        P 42 b c       P 4c -2ab        PTN$P4C006$I2A660 
   107        I 4 m m        I 4 -2           ITN$P4C000$I2A000 
   108        I 4 c m        I 4 -2c          ITN$P4C000$I2A006 
   109        I 41 m d       I 4bw -2         ITN$P4C063$I2A666 
   110        I 41 c d       I 4bw -2c        ITN$P4C063$I2A660 
   111        P -4 2 m       P -4 2           PTN$I4C000$P2A000 
   112        P -4 2 c       P -4 2c          PTN$I4C000$P2A006 
   113        P -4 21 m      P -4 2ab         PTN$I4C000$P2A660 
   114        P -4 21 c      P -4 2n          PTN$I4C000$P2A666 
   115        P -4 m 2       P -4 -2          PTN$I4C000$P2D000 
   116        P -4 c 2       P -4 -2c         PTN$I4C000$P2D006 
   117        P -4 b 2       P -4 -2ab        PTN$I4C000$P2D660 
   118        P -4 n 2       P -4 -2n         PTN$I4C000$P2D666 
